date,ticker,side,model_prob,price_cents,edge,kelly_fraction,settlement_result,profit_dollars
2026-05-05,KXHIGHCHI-26MAY06-B57.5,no,0.876,55,0.336,0.181,yes,-4.95
2026-05-05,KXHIGHCHI-26MAY06-T55,yes,0.35412236935910946,7,0.28412236935910945,0.0763769810105133,no,-3.5000000000000004
2026-05-05,KXHIGHCHI-26MAY06-B59.5,no,0.9860526676438618,75,0.2360526676438618,0.2360526676438618,no,1.5
2026-05-05,KXHIGHCHI-26MAY06-B55.5,yes,0.24438145727704907,14,0.10438145727704906,0.030343446882863098,no,-1.54
2026-05-05,KXHIGHCHI-26MAY06-B61.5,no,0.9996541380985815,94,0.059654138098581555,0.24855890874408956,no,0.3000000000000007
2026-05-05,KXHIGHNY-26MAY06-B69.5,no,0.8407346267649438,61,0.23073462676494383,0.14790681202881015,no,3.12
2026-05-05,KXHIGHNY-26MAY06-B71.5,no,0.7737533357739341,68,0.09375333577393408,0.073244793573386,yes,-2.72
2026-05-05,KXHIGHNY-26MAY06-B67.5,no,0.9724877277061658,89,0.08248772770616575,0.187472108423104,no,0.5499999999999998
2026-05-05,KXHIGHMIA-26MAY06-B88.5,no,0.9903994402555777,47,0.5203994402555777,0.24547143408281966,yes,-4.699999999999999
2026-05-05,KXHIGHMIA-26MAY06-B90.5,no,0.9998881888408501,73,0.2698881888408501,0.24989647114893523,no,1.62
2026-05-05,KXHIGHMIA-26MAY06-B84.5,yes,0.2688255951689944,3,0.2388255951689944,0.06155298844561711,no,-1.5
2026-05-08,KXHIGHCHI-26MAY09-B74.5,no,0.8589835459493591,68,0.17898354594935906,0.1398308952729368,no,1.2799999999999998
2026-05-08,KXHIGHNY-26MAY09-B63.5,no,0.9298970650945293,72,0.20989706509452932,0.18740809383440118,no,1.12
2026-05-08,KXHIGHNY-26MAY09-T61,yes,0.40415696955861274,24,0.16415696955861275,0.05399900314428051,no,-0.24
2026-05-08,KXHIGHMIA-26MAY09-B91.5,no,0.8818485418924447,51,0.37184854189244465,0.18971864382267584,yes,-2.55
2026-05-08,KXHIGHMIA-26MAY09-B93.5,no,0.9842024551126399,71,0.27420245511263996,0.2363814268212413,no,0.29000000000000004
2026-05-08,KXHIGHMIA-26MAY09-B87.5,yes,0.11815145810755538,3,0.08815145810755538,0.02271944796586479,no,-0.06
2026-05-11,KXHIGHCHI-26MAY12-B77.5,no,0.9489192165761585,84,0.10891921657615855,0.16486536096026422,no,0.48
2026-05-11,KXHIGHCHI-26MAY12-B75.5,no,0.7757758406910321,68,0.09577584069103207,0.06314653390919346,no,0.31999999999999995
2026-05-11,KXHIGHNY-26MAY12-B66.5,no,0.7027627085823585,56,0.1327627085823585,0.07718762126881305,yes,-1.14
2026-05-11,KXHIGHNY-26MAY12-T66,no,0.7652154040347237,71,0.05521540403472369,0.04759948623683075,no,0.29000000000000004
2026-05-12,KXHIGHCHI-26MAY13-T60,yes,0.3008686346567122,13,0.1708686346567122,0.04437312784020947,yes,3.48
2026-05-12,KXHIGHMIA-26MAY13-B89.5,no,0.9563578147520758,62,0.3363578147520758,0.2212880360211025,no,1.52
2026-05-12,KXHIGHMIA-26MAY13-B85.5,yes,0.2040438214789701,3,0.1740438214789701,0.04271974517681513,no,-0.09
2026-05-13,KXHIGHCHI-26MAY14-T62,yes,0.7638102057973444,5,0.7138102057973443,0.18784479099930115,no,-2.5
2026-05-13,KXHIGHCHI-26MAY14-B66.5,no,0.9996022261459411,71,0.2896022261459411,0.24964484477316168,no,0.29000000000000004
2026-05-13,KXHIGHNY-26MAY14-B63.5,no,0.9862168151885397,82,0.1662168151885397,0.23085668776186063,no,0.54
2026-05-13,KXHIGHMIA-26MAY14-B92.5,no,0.9659634033679713,72,0.2459634033679713,0.21961018157854578,no,1.12
2026-05-14,KXHIGHCHI-26MAY15-T71,no,0.8197986394629537,71,0.10979863946295376,0.0946539995370291,no,0.29000000000000004
2026-05-14,KXHIGHNY-26MAY15-T65,no,0.981789791896642,70,0.281789791896642,0.23482482658053497,no,1.2000000000000002
2026-05-14,KXHIGHMIA-26MAY15-B85.5,yes,0.15031679479377236,3,0.12031679479377236,0.028728331977544885,no,-0.24
2026-05-15,KXHIGHCHI-26MAY16-T81,yes,0.3969252982351973,6,0.3369252982351973,0.08612100495521666,no,-1.32
2026-05-15,KXHIGHMIA-26MAY16-B90.5,no,0.9929566734887759,72,0.27295667348877595,0.2411958418609699,yes,-2.16
2026-05-15,KXHIGHMIA-26MAY16-B84.5,yes,0.16576114510418627,2,0.14576114510418628,0.030463459237943753,no,-0.04
2026-05-16,KXHIGHCHI-26MAY17-T84,yes,0.9149522424283276,14,0.7749522424283276,0.22165074747610922,no,-1.68
2026-05-16,KXHIGHMIA-26MAY17-B83.5,yes,0.16453323258739988,5,0.11453323258739988,0.030140324365105234,no,-0.30000000000000004
2026-05-16,KXHIGHMIA-26MAY17-T83,yes,0.13955484188086287,3,0.10955484188086287,0.028235783989913107,no,-0.03
2026-05-17,KXHIGHMIA-26MAY18-T84,yes,0.43334630656683437,3,0.40334630656683435,0.10395523365124597,no,-1.5
2026-05-17,KXHIGHMIA-26MAY18-B88.5,no,0.9850586837873987,76,0.22505868378739868,0.23443612894520696,no,0.48
2026-05-17,KXHIGHMIA-26MAY18-B84.5,yes,0.21900477853112155,3,0.18900477853112155,0.04661582774247957,no,-0.21
2026-05-18,KXHIGHMIA-26MAY19-T84,yes,0.5642886215866348,2,0.5442886215866348,0.13533911094385126,no,-0.92
2026-05-19,KXHIGHCHI-26MAY20-B57.5,no,0.9991633627530088,78,0.21916336275300874,0.24904927585569178,no,0.6600000000000001
2026-05-19,KXHIGHCHI-26MAY20-B59.5,no,0.9414437656939159,72,0.22144376569391588,0.19369592855184217,no,0.28
2026-05-19,KXHIGHCHI-26MAY20-B61.5,yes,0.3104251378743055,22,0.09042513787430548,0.026112057751397875,yes,0.78
2026-05-19,KXHIGHNY-26MAY20-T96,yes,0.7624609932388047,4,0.7224609932388046,0.1881408836559387,no,-2.0
2026-05-19,KXHIGHNY-26MAY20-B93.5,no,0.9818173204105284,67,0.31181732041052834,0.23579478157072528,no,0.32999999999999996
2026-05-19,KXHIGHMIA-26MAY20-B88.5,no,0.9547330262177025,55,0.40473302621770246,0.22485168123205693,yes,-2.75
2026-05-19,KXHIGHMIA-26MAY20-B84.5,yes,0.19835255696847015,4,0.15835255696847014,0.03904014657065003,no,-0.4
2026-05-20,KXHIGHCHI-26MAY21-B60.5,no,0.8592226204287219,66,0.19922262042872185,0.14648722090347197,yes,-0.66
2026-05-20,KXHIGHCHI-26MAY21-B58.5,no,0.994966339678579,79,0.2049663396785789,0.24370792459822369,no,0.41999999999999993
2026-05-20,KXHIGHNY-26MAY21-T68,no,0.9926524453408245,73,0.26265244534082455,0.24319670864891157,yes,-1.46
2026-05-20,KXHIGHNY-26MAY21-B68.5,no,0.9712394396014769,77,0.20123943960147683,0.2187385213059531,no,0.22999999999999998
2026-05-20,KXHIGHNY-26MAY21-B72.5,yes,0.22839996177195188,16,0.06839996177195187,0.020357131479747586,no,-0.16
2026-05-20,KXHIGHMIA-26MAY21-B89.5,no,0.949927217047758,56,0.3899272170477579,0.22019477205223686,yes,-1.12
2026-05-20,KXHIGHMIA-26MAY21-T85,yes,0.24254860331332206,4,0.20254860331332206,0.05274703211284429,no,-0.28
2026-05-20,KXHIGHMIA-26MAY21-B91.5,no,0.9953015314529927,87,0.12530153145299272,0.24096448356344755,no,0.13
2026-05-20,KXHIGHMIA-26MAY21-B85.5,yes,0.19345618066741943,9,0.10345618066741943,0.02842202765588446,no,-0.09
2026-05-21,KXHIGHNY-26MAY22-B65.5,no,0.9035493319591925,70,0.20354933195919256,0.1696244432993271,no,0.30000000000000004
2026-05-21,KXHIGHNY-26MAY22-B63.5,no,0.992295790639415,74,0.252295790639415,0.2392997092214097,no,0.52
2026-05-21,KXHIGHMIA-26MAY22-B89.5,no,0.9491642196618991,54,0.4091642196618991,0.2223718585119017,yes,-1.08
2026-05-21,KXHIGHMIA-26MAY22-B91.5,no,0.995044144775408,81,0.18504414477540798,0.24225647621157503,no,0.18999999999999995
2026-05-21,KXHIGHMIA-26MAY22-B85.5,yes,0.1921689084424268,4,0.15216890844242678,0.03741287064274389,no,-0.2
2026-05-22,KXHIGHCHI-26MAY23-T74,yes,0.2551928979116165,2,0.2351928979116165,0.05399813102937276,no,-0.16
2026-05-23,KXHIGHCHI-26MAY24-T79,yes,0.9915611208811802,36,0.6315611208811802,0.246703562844211,no,-2.52
2026-05-23,KXHIGHCHI-26MAY24-B78.5,no,0.992217268840683,78,0.21221726884068293,0.24115598731895788,no,0.21999999999999997
2026-05-23,KXHIGHMIA-26MAY24-B89.5,no,0.9359144161465494,45,0.48591441614654934,0.22033074821599508,yes,-1.35
2026-05-23,KXHIGHMIA-26MAY24-B85.5,yes,0.17946692298446676,7,0.10946692298446675,0.027029055158822483,no,-0.14
2026-05-23,KXHIGHMIA-26MAY24-B91.5,no,0.9931228788737081,88,0.11312287887370809,0.22134532864045042,no,0.12
2026-05-24,KXHIGHCHI-26MAY25-B86.5,no,0.9785465704215884,76,0.21854657042158843,0.22562110275180502,no,0.24
2026-05-24,KXHIGHCHI-26MAY25-B88.5,no,0.999859961500803,90,0.09985996150080301,0.2495623796900095,no,0.09999999999999998
2026-05-24,KXHIGHNY-26MAY25-T72,no,0.9975315941412304,71,0.2875315941412304,0.24779606619752714,no,0.29000000000000004
2026-05-24,KXHIGHNY-26MAY25-B72.5,no,0.987549449801507,72,0.2675494498015071,0.23703067687656984,yes,-0.72
2026-05-24,KXHIGHNY-26MAY25-B76.5,yes,0.25011812648819587,10,0.15011812648819586,0.04169947958005441,no,-0.1
2026-05-24,KXHIGHMIA-26MAY25-B89.5,no,0.9304704242551415,38,0.5504704242551415,0.22196388074804088,no,0.62
2026-05-24,KXHIGHMIA-26MAY25-B85.5,yes,0.17366000190383452,3,0.14366000190383452,0.03702577368655529,no,-0.09
2026-05-27,KXHIGHCHI-26MAY28-B68.5,no,0.9643064924814849,80,0.16430649248148488,0.12322986936111369,no,0.19999999999999996
2026-05-28,KXHIGHCHI-26MAY29-B80.5,no,0.9673262023614074,75,0.21732620236140743,0.13039572141684444,no,0.25
2026-05-29,KXHIGHCHI-26MAY30-B70.5,no,0.960409942808444,80,0.160409942808444,0.12030745710633303,no,0.19999999999999996
2026-05-31,KXHIGHNY-26JUN01-B70.5,no,0.9538612646243916,63,0.3238612646243916,0.12837246779268355,yes,-0.63
2026-06-01,KXHIGHMIA-26JUN02-B90.5,no,0.8948449686484915,67,0.22484496864849146,0.10070857905398037,no,0.32999999999999996
2026-06-02,KXHIGHCHI-26JUN03-B80.5,no,0.9278967022506974,64,0.2878967022506974,0.10994261236149856,no,0.36
2026-06-02,KXHIGHNY-26JUN03-T83,yes,0.5,9,0.41000000000000003,0.058536585365853655,no,-0.18
2026-06-02,KXHIGHMIA-26JUN03-T82,yes,0.3735064268357733,17,0.20350642683577327,0.03677826991007951,no,-0.17
2026-06-04,KXHIGHNY-26JUN05-B89.5,no,0.9513534057804404,60,0.3513534057804404,0.11683186757757295,no,0.4
2026-06-04,KXHIGHNY-26JUN05-B87.5,no,0.9798800759401163,82,0.15988007594011633,0.12256373991834037,yes,-0.82
2026-06-04,KXHIGHMIA-26JUN05-B87.5,no,0.9765647028532202,76,0.21656470285322016,0.13535293928326259,no,0.24
2026-06-05,KXHIGHNY-26JUN06-B89.5,no,0.9742937599501736,68,0.25,0.13795019997664387,no,0.31999999999999995
2026-06-07,KXHIGHNY-26JUN08-B78.5,no,0.8978131409873764,70,0.19781314098737646,0.09890657049368821,no,0.30000000000000004
2026-06-09,KXHIGHNY-26JUN10-B77.5,no,0.971122822321891,71,0.261122822321891,0.1345300833867273,no,0.29000000000000004
2026-06-10,KXHIGHNY-26JUN11-B94.5,no,0.9352008015639655,74,0.19520080156396546,0.1126158470561339,no,0.26
2026-06-11,KXHIGHCHI-26JUN12-B81.5,no,0.9244380143378521,70,0.22443801433785215,0.11221900716892606,yes,-0.7
2026-06-11,KXHIGHNY-26JUN12-B92.5,no,0.9376269542021625,72,0.2176269542021625,0.11401555050124756,no,0.28
